symbol,description,exchange,category
ZC,Corn,CBOT,AG
ZO,Oats,CBOT,AG
ZW,Wheat,CBOT,AG
KE,Hard Red Wheat,CBOT,AG
ZS,Soybeans,CBOT,AG
ZR,Rough Rice,CBOT,AG
ZM,Soybean Meal,CBOT,AG
ZL,Soybean Oil,CBOT,AG
ZK,Ethanol Futures,CBOT,AG
FZ,Ethanol Forward,CBOT,AG
WL,EU Wheat,CBOT,AG
CS,Soybean Crush,CBOT,AG
F5,Urea FOB NOLA Swap,CBOT,AG
F9,Urea FOB Yuzhny Swap,CBOT,AG
F0,Urea FOB Egypt Swap,CBOT,AG
F4,Urea FOB MidEast Swap,CBOT,AG
F7,UAN FOB NOLA Swap,CBOT,AG
F8,DAP FOB NOLA Swap,CBOT,AG
FD,DAP FOB Tampa Swap,CBOT,AG
F3,Australian Wheat FOB,CBOT,AG
AH,BBerg Commodity Index,CBOT,INDICES
DH,DJ Real Estate Index,CBOT,INDICES
ZB,T-Bond,CBOT,INTEREST RATES
ZN,10-Year T-Note,CBOT,INTEREST RATES
ZF,5-Year T-Note,CBOT,INTEREST RATES
ZE,3-Year T-Note,CBOT,INTEREST RATES
ZT,2-Year T-Note,CBOT,INTEREST RATES
UD,Ultra T-Bond,CBOT,INTEREST RATES
TN,Ultra 10-Year T-Note,CBOT,INTEREST RATES
RD,2-Year USD I/R Swap,CBOT,INTEREST RATES
RH,5-Year USD I/R Swap,CBOT,INTEREST RATES
SA,7-Year USD I/R Swap,CBOT,INTEREST RATES
RQ,10-Year USD I/R Swap,CBOT,INTEREST RATES
SR,20-Year USD I/R Swap,CBOT,INTEREST RATES
RW,30-Year USD I/R Swap,CBOT,INTEREST RATES
M0,2-Year EUR I/R Swap,CBOT,INTEREST RATES
M1,5-Year EUR I/R Swap,CBOT,INTEREST RATES
M2,10-Year EUR I/R Swap,CBOT,INTEREST RATES
ZQ,30-Day Fed Funds,CBOT,INTEREST RATES
YM,Dow Indu 30 E-Mini,CBOT,MINI
XN,Corn mini-sized,CBOT,MINI
XW,Wheat mini-sized,CBOT,MINI
XK,Soybeans mini-sized,CBOT,MINI
MK,HRW Wheat mini-sized,CBOT,MINI
GF,Feeder Cattle,CME,AG
LE,Live Cattle,CME,AG
HE,Lean Hogs,CME,AG
BD,Butter Cash-Settled,CME,AG
DL,Class III Milk,CME,AG
DF,Nonfat Dry Milk,CME,AG
DK,Class IV Milk,CME,AG
JQ,Midsize Milk Options,CME,AG
BJ,Cheese Cash-Settled,CME,AG
CU,Crude Palm Oil,CME,AG
LS,Lumber,CME,AG
DG,Dry Whey,CME,AG
FI,Palm Oil MY Swaps,CME,AG
FW,Palm Olein MY Swaps,CME,AG
A6,Australian Dollar,CME,CURRENCIES
B6,British Pound,CME,CURRENCIES
D6,Canadian Dollar,CME,CURRENCIES
J6,Japanese Yen,CME,CURRENCIES
E6,Euro FX,CME,CURRENCIES
S6,Swiss Franc,CME,CURRENCIES
M6,Mexican Peso,CME,CURRENCIES
L6,Brazilian Real,CME,CURRENCIES
N6,New Zealand Dollar,CME,CURRENCIES
R6,Russian Ruble,CME,CURRENCIES
T6,South African Rand,CME,CURRENCIES
T3,USD/ZAR,CME,CURRENCIES
RP,Euro/Pound,CME,CURRENCIES
RY,Euro/Yen,CME,CURRENCIES
RF,Euro/Swiss,CME,CURRENCIES
SK,Swedish Krona,CME,CURRENCIES
NR,Norwegian Krone,CME,CURRENCIES
UA,Euro/Krona,CME,CURRENCIES
UB,Euro/Krone,CME,CURRENCIES
UC,Euro/Australian,CME,CURRENCIES
UE,Euro/Canadian,CME,CURRENCIES
UF,Canadian/Yen,CME,CURRENCIES
UG,Australian/Canadian,CME,CURRENCIES
UI,Australian/N.Zealand,CME,CURRENCIES
UK,Australian/Yen,CME,CURRENCIES
UN,British/Swiss Franc,CME,CURRENCIES
UR,British/Yen,CME,CURRENCIES
UP,Swiss Franc/Yen,CME,CURRENCIES
WE,Euro/Czech Koruna,CME,CURRENCIES
WP,Polish Zloty,CME,CURRENCIES
WH,Hungarian Forint,CME,CURRENCIES
WC,Czech Koruna,CME,CURRENCIES
WU,Euro/Hungary Forint,CME,CURRENCIES
WY,Israeli Shekel,CME,CURRENCIES
WZ,Euro/Polish Zloty,CME,CURRENCIES
KZ,Korean Won,CME,CURRENCIES
QV,Renminbi/Euro,CME,CURRENCIES
QT,Chinese Renminbi,CME,CURRENCIES
E4,Turkish Lira,CME,CURRENCIES
E5,Euro/Turkish Lira,CME,CURRENCIES
H5,USD/offshore RMB,CME,CURRENCIES
H3,Indian Rupee,CME,CURRENCIES
N5,Chilean Peso,CME,CURRENCIES
N0,Chilean Peso/USD,CME,CURRENCIES
BA,CME Dollar Spot Index,CME,CURRENCIES
J0,HPI Composite Index,CME,HOUSING
I0,HPI Boston,CME,HOUSING
I1,HPI Chicago,CME,HOUSING
I2,HPI Denver,CME,HOUSING
I3,HPI Las Vegas,CME,HOUSING
I4,HPI Los Angeles,CME,HOUSING
I5,HPI Miami,CME,HOUSING
I6,HPI New York,CME,HOUSING
I7,HPI San Diego,CME,HOUSING
I8,HPI San Francisco,CME,HOUSING
I9,HPI Washington DC,CME,HOUSING
SP,S&P 500 Index,CME,INDICES
SG,S&P 500 Growth Index,CME,INDICES
SU,S&P 500 Value Index,CME,INDICES
SE,S&P MLP Total Return,CME,INDICES
T2,S&P 500 Dividend,CME,INDICES
NY,Nikkei 225,CME,INDICES
NL,Nikkei 225 Yen,CME,INDICES
IF,Ibovespa USD,CME,INDICES
GD,S&P GSCI,CME,INDICES
G7,S&P GS Excess Index,CME,INDICES
BI,S&P 500 Cons Disc,CME,INDICES
BL,S&P 500 Cons Staples,CME,INDICES
BM,S&P 500 Energy,CME,INDICES
BN,S&P 500 Financials,CME,INDICES
BS,S&P 500 Health Care,CME,INDICES
JG,S&P 500 Industrial,CME,INDICES
JA,S&P 500 Materials,CME,INDICES
JB,S&P 500 Info Tech,CME,INDICES
JE,S&P 500 Utilities,CME,INDICES
BK,S&P 500 Real Estate,CME,INDICES
GE,Eurodollar,CME,INTEREST RATES
K6,2-Year Bundle EuroD,CME,INTEREST RATES
K7,3-Year Bundle EuroD,CME,INTEREST RATES
K9,5-Year Bundle EuroD,CME,INTEREST RATES
FE,3-Month EuriBor,CME,INTEREST RATES
GH,1-Month Libor,CME,INTEREST RATES
ES,S&P 500 E-Mini,CME,MINI
EW,S&P Midcap E-Mini,CME,MINI
PC,S&P Smallcap E-Mini,CME,MINI
NQ,Nasdaq 100 E-Mini,CME,MINI
NC,Nasdaq Comp E-Mini,CME,MINI
NB,Nasdaq Bio E-Mini,CME,MINI
RL,Russell 1000 E-Mini,CME,MINI
TK,Russell 1000 Growth,CME,MINI
TX,Russell 1000 Value,CME,MINI
UU,E-Mini FTSE 100 USD,CME,MINI
